time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,tf_pos_x,tf_pos_y,tf_pos_z,tf_timestamp,tf_source_frame,tf_target_frame,interval_s,elapsed_time_s
1754047658.1691506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.081955,0.0,0.0,0.0,1754047658.0944705,odom,base_link,nan,0.09151458740234375
1754047658.1923685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.1195252,0.0,0.0,0.0,1754047658.1195252,odom,base_link,0.02321791648864746,0.11473250389099121
1754047658.2417593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.2195437,-0.01998441048474269,0.006116654909807946,0.0,1754047658.2195437,map,base_link,0.04939079284667969,0.1641232967376709
1754047658.298973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.2819822,-0.01998441048474269,0.006116654909807946,0.0,1754047658.2819822,map,base_link,0.057213783264160156,0.22133708000183105
1754047658.3438609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.3194702,-0.01998441048474269,0.006116654909807946,0.0,1754047658.3194702,map,base_link,0.04488778114318848,0.26622486114501953
1754047658.3910758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.3819714,-0.01998441048474269,0.006116654909807946,0.0,1754047658.3570447,map,base_link,0.04721498489379883,0.31343984603881836
1754047658.4409862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.419368,-0.01998441048474269,0.006116654909807946,0.0,1754047658.419368,map,base_link,0.04991030693054199,0.36335015296936035
1754047658.494979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.481833,-0.01998441048474269,0.006116654909807946,0.0,1754047658.481833,map,base_link,0.05399274826049805,0.4173429012298584
1754047658.5851731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.520383,-0.01998441048474269,0.006116654909807946,0.0,1754047658.4944837,map,base_link,0.0901942253112793,0.5075371265411377
1754047658.5956092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.5443332,-0.01998441048474269,0.006116654909807946,0.0,1754047658.520383,map,base_link,0.010436058044433594,0.5179731845855713
1754047658.6442657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.6194575,-0.01998441048474269,0.006116654909807946,0.0,1754047658.5944757,map,base_link,0.048656463623046875,0.5666296482086182
1754047658.6954052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754047658.6822844,-0.01998441048474269,0.006116654909807946,0.0,1754047658.6445203,map,base_link,0.05113959312438965,0.6177692413330078
