time,range_0,range_90,range_180,range_270,range_360,
1750668881.09302,inf,inf,0.79449999332428,0.503499984741211,,
1750668881.67011,inf,inf,0.793749988079071,0.501999974250793,,
1750668882.15945,inf,inf,0.794000029563904,0.503000020980835,,
1750668882.73664,inf,inf,0.795249998569489,0.502250015735626,,
1750668883.31458,inf,inf,0.79449999332428,0.500999987125397,,
1750668883.84798,inf,inf,0.795000016689301,0.502499997615814,,rata rata
1750668884.247,inf,inf,0.797999978065491,0.502749979496002,,0.503189497828484
1750668884.69169,inf,inf,0.794749975204468,0.504000008106232,,
1750668885.26882,inf,inf,0.794250011444092,0.503750026226044,,
1750668885.84621,inf,inf,0.794749975204468,0.505249977111816,,
1750668886.42382,inf,inf,0.795000016689301,0.504499971866608,,
1750668887.00099,inf,inf,0.796249985694885,0.502250015735626,,
1750668887.48994,inf,inf,0.796500027179718,0.502250015735626,,
1750668888.02325,inf,inf,0.796750009059906,0.502250015735626,,
1750668888.60008,inf,inf,0.79925000667572,0.504999995231628,,
1750668889.17743,inf,inf,0.796000003814697,0.502250015735626,,
1750668889.66662,inf,inf,0.79449999332428,0.501999974250793,,
1750668890.19948,inf,inf,0.798500001430512,0.503000020980835,,
1750668890.77695,inf,inf,0.79449999332428,0.504999995231628,,
1750668891.35462,inf,inf,0.793749988079071,0.502499997615814,,
1750668891.84346,inf,inf,0.79925000667572,0.504999995231628,,
1750668892.37608,inf,inf,0.79449999332428,0.502250015735626,,
1750668892.90882,inf,inf,0.792750000953674,0.505500018596649,,
1750668893.48613,inf,inf,0.798250019550324,0.50475001335144,,
1750668893.88671,inf,inf,0.797999978065491,0.504999995231628,,
1750668894.37509,inf,inf,0.794250011444092,0.501999974250793,,
1750668894.95264,inf,inf,0.794749975204468,0.505500018596649,,
1750668895.53002,inf,inf,0.792500019073486,0.503499984741211,,
1750668895.97473,inf,inf,0.79449999332428,0.501999974250793,,
1750668896.33012,inf,inf,0.79449999332428,0.505249977111816,,
1750668896.86238,inf,inf,0.797249972820282,0.503750026226044,,
1750668897.43986,inf,inf,0.794749975204468,0.504499971866608,,
1750668897.97304,inf,inf,0.800000011920929,0.504999995231628,,
1750668898.55095,inf,inf,0.797249972820282,0.503750026226044,,
1750668899.1285,inf,inf,0.79449999332428,0.504000008106232,,
1750668899.61646,inf,inf,0.792500019073486,0.50424998998642,,
1750668900.15034,inf,inf,0.797999978065491,0.503499984741211,,
1750668900.72744,inf,inf,0.795000016689301,0.502250015735626,,
1750668901.30486,inf,inf,0.798250019550324,0.504999995231628,,
1750668901.88243,inf,inf,0.79925000667572,0.504999995231628,,
1750668902.45992,inf,inf,0.797249972820282,0.503750026226044,,
1750668902.90416,inf,inf,0.796249985694885,0.502499997615814,,
1750668903.48152,inf,inf,0.793749988079071,0.501749992370606,,
1750668904.01437,inf,inf,0.796249985694885,0.502250015735626,,
1750668904.59126,inf,inf,0.797249972820282,0.503250002861023,,
1750668905.16936,inf,inf,0.799000024795532,0.505249977111816,,
1750668905.61376,inf,inf,0.798500001430512,0.502749979496002,,
